RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85713,Tucson,AZ,Pima,Tucson-AZ-85713,1311,129900,129500,134900,140000,145000,149000,149250,143425,145000,145000,142000,140000
85020,Phoenix,AZ,Maricopa,Phoenix-AZ-85020,1371,310000,294900,299900,294000,299900,289900,299500,299900,308000,305999,302449.5,319000
85208,Mesa,AZ,Maricopa,Mesa-AZ-85208,1390,214900,215000,214400,215250,215000,219990,219900,219950,223500,227450,230000,237000
85202,Mesa,AZ,Maricopa,Mesa-AZ-85202,1402,239000,227000,225000,214950,216950,214950,219900,219950,230000,229900,230000,235000
85712,Tucson,AZ,Pima,Tucson-AZ-85712,1435,178000,179000,184900,180500,180000,179000,175000,179900,179900,181450,180000,185450
85021,Phoenix,AZ,Maricopa,Phoenix-AZ-85021,1444,349450,340000,349900,364950,349900,349900,367400,396250,382000,374950,364900,337450
85716,Tucson,AZ,Pima,Tucson-AZ-85716,1512,219450,219450,225000,225000,249990,249000,249900,232000,235000,240000,244900,244000
85249,Chandler,AZ,Maricopa,Chandler-AZ-85249,1529,400000,405000,414900,418000,418450,409000,407000,409900,419900,427950,429999.5,427950
85027,Phoenix,AZ,Maricopa,Phoenix-AZ-85027,1580,214900,210000,209900,212000,210450,219500,210000,185124,199000,199900,204500,209450
85635,Sierra-Vista,AZ,Cochise,Sierra-Vista-AZ-85635,1591,155000,154950,153000,159500,154000,157250,159900,159900,165000,160000,170000,174900
85051,Phoenix,AZ,Maricopa,Phoenix-AZ-85051,1610,174950,174900,174950,178250,180000,189000,189800,198000,193700,207616,203700,205450
85295,Gilbert,AZ,Maricopa,Gilbert-AZ-85295,1627,319000,315000,319900,320000,316995,319995,319900,299950,296995,310000,319000,313500
85015,Phoenix,AZ,Maricopa,Phoenix-AZ-85015,1644,199900,199900,204250,210000,208950,210000,204500,210000,219900,219900,225900,228900
85730,Tucson,AZ,Pima,Tucson-AZ-85730,1648,169900,169900,169900,165000,165000,165000,165000,169000,174900,170000,170000,174900
85745,Tucson,AZ,Pima,Tucson-AZ-85745,1650,250000,244500,249000,249500,269900,270000,260000,265000,264500,283500,270700,279000
85296,Gilbert,AZ,Maricopa,Gilbert-AZ-85296,1671,299000,292900,292000,299900,299900,300000,314990,309900,299900,299900,300000,300000
85704,Tucson,AZ,Pima,Tucson-AZ-85704,1703,295000,287500,279000,279900,287000,281054,275000,265000,272950,275000,289950,289950
86314,Prescott-Valley,AZ,Yavapai,Prescott-Valley-AZ-86314,1721,257900,259900,265900,265000,265000,260000,259950,259900,276000,281000,275000,274900
85226,Chandler,AZ,Maricopa,Chandler-AZ-85226,1728,309000,309900,292995,295000,289990,308000,319450,314445,314450,320000,310000,328500
85033,Phoenix,AZ,Maricopa,Phoenix-AZ-85033,1738,164900,165000,164400,165000,165000,164000,167000,169900,174950,179000,176000,178900
